model_id,mode,sample_id,human_std,human_range,model_std,model_range,model_mean,human_mean,n_model_samples,corr_human_model_std,collapse_rate_on_high_disagreement,n_high,mean_human_std_all50,mean_model_std_all50,mean_std_ratio_all50,mean_model_std_top15,mean_std_ratio_top15
gpt-5.6-luna,T,__SUMMARY__,,,,,,,,-0.008580072683289683,1.0,15,1.5329293039351455,0.36943795179828426,0.24082223145135687,0.4473360346947991,0.2474381059362432
gpt-5.6-luna,ORIG,__SUMMARY__,,,,,,,,0.45604764802278586,1.0,15,1.5329293039351455,0.307440579407076,0.20483070214965,0.29637627313906995,0.20606609736230175
gpt-5.6-sol,ORIG,__SUMMARY__,,,,,,,,-0.4905179353304969,1.0,15,1.5329293039351455,0.17170043092132092,0.11048866810721006,0.2316411277875456,0.2283917881235309
gpt-5.6-sol,T,__SUMMARY__,,,,,,,,-0.04805104229862172,1.0,15,1.5329293039351455,0.23992588450291982,0.1516730183523189,0.28047911989735475,0.21738290657917986
moonshotai/kimi-k3,T,__SUMMARY__,,,,,,,,-0.05931195101647577,1.0,15,1.5329293039351455,0.43218319770847907,0.28995387179658144,0.5172657049023406,0.2671694925238524
google/gemini-3.6-flash,T,__SUMMARY__,,,,,,,,-0.3002916397056779,1.0,15,1.5329293039351455,0.26941944481187174,0.17634075265987323,0.3467843291826091,0.2251977785391497
google/gemma-3-12b-it,ORIG,__SUMMARY__,,,,,,,,0.4821965188130908,1.0,15,1.5329293039351455,0.08259840679097326,0.04926117420464534,0.17330942008686043,0.16452047496375968
z-ai/glm-5.2,ORIG,__SUMMARY__,,,,,,,,0.3292125457069547,1.0,15,1.5329293039351455,0.33028189894973886,0.21807786529101839,0.4337238770506352,0.27778961218398607
deepseek/deepseek-v4-flash,ORIG,__SUMMARY__,,,,,,,,0.25222640690282544,1.0,15,1.5329293039351455,0.29705086184858426,0.19198867807391923,0.35432949726798685,0.21004967326791826
openai/gpt-4.1-mini,ORIG,__SUMMARY__,,,,,,,,0.1951632095860095,1.0,15,1.5329293039351455,0.3679092252862718,0.2505285316333502,0.40054115658898054,0.2375088854049279
google/gemma-4-31b-it,ORIG,__SUMMARY__,,,,,,,,-0.18035655076263069,1.0,15,1.5329293039351455,0.04826830034684316,0.02822896468486193,0.09335816945720554,0.18288955301037058
google/gemma-4-31b-it,T,__SUMMARY__,,,,,,,,0.004716614532713378,0.9333333333333333,15,1.5329293039351455,0.37639073810142726,0.2380246248332914,0.447698887729081,0.2887178197164697
deepseek/deepseek-v4-flash,T,__SUMMARY__,,,,,,,,0.1082311153073137,0.9333333333333333,15,1.5329293039351455,0.5350522912222307,0.36166143243601523,0.5927586874179006,0.32710059995221225
moonshotai/kimi-k3,ORIG,__SUMMARY__,,,,,,,,0.2721462913645595,0.8,15,1.5329293039351455,0.5488412171790391,0.36227039028727914,0.7081655517109897,0.38936058384816
z-ai/glm-5.2,T,__SUMMARY__,,,,,,,,0.23613194788051775,0.0,15,1.5329293039351455,2.035291853552886,1.3812073645559508,2.05895203647379,1.0612168193244318
