model_id,mode,pearson_r,mae,bias_model_minus_human,slope,paper_pearson_r,paper_mae,paper_bias,paper_slope,delta_r_vs_paper,delta_mae_vs_paper,delta_bias_vs_paper
gpt-5.6-luna,ORIG,0.7776668912632118,0.6199119999999999,0.3088159999999999,0.8235681071481022,0.7546998299324308,0.5822320000000001,0.06386800000000005,0.7769079970192213,0.02296706133078097,0.037679999999999825,0.2449479999999999
gpt-5.6-sol,ORIG,0.7331366186783372,0.637764,0.35781599999999997,0.7517999300512321,0.7546998299324308,0.5822320000000001,0.06386800000000005,0.7769079970192213,-0.02156321125409355,0.055531999999999915,0.29394799999999993
moonshotai/kimi-k3,ORIG,0.6918198235713622,0.6679600000000001,0.125816,0.8212399649910265,0.7546998299324308,0.5822320000000001,0.06386800000000005,0.7769079970192213,-0.06288000636106861,0.08572800000000003,0.06194799999999996
google/gemma-3-12b-it,ORIG,0.6402469432971583,1.186496,0.19081599999999999,1.1411598652426254,0.7546998299324308,0.5822320000000001,0.06386800000000005,0.7769079970192213,-0.11445288663527253,0.6042639999999999,0.12694799999999995
openai/gpt-4.1-mini,ORIG,0.5251472150749914,0.871692,0.216816,0.6237029260270196,0.7546998299324308,0.5822320000000001,0.06386800000000005,0.7769079970192213,-0.22955261485743939,0.28945999999999994,0.15294799999999997
