model_id,mode,n,pearson_r,mae,rmse,coarse_acc,parse_fail_rate,total_tokens,mean_cost_per_sentence_usd,cost_ratio_vs_human,pricing_source,modes_available,rank,is_paper_ref,note
gpt-5.6-luna,T,50,0.7850968602212802,0.5739839999999999,0.7493797403186184,0.98,0.0,788178,0.02686536,0.00835365671641791,openrouter_openai_gpt-5.6-luna_2026-07-26,"ORIG,T",1,False,
gpt-4 (paper),ref,50,0.7546998299324308,0.5822320000000001,0.7487967216808578,,,,,,,,2,True,from data/ready gpt4_mean; not openai/gpt-4.1-mini
gpt-5.6-sol,T,50,0.7061714127966138,0.6757639999999999,0.903664979513979,0.98,0.0,379474,0.0583944,0.018157462686567163,openrouter_openai_gpt-5.6-sol_2026-07-26,"ORIG,T",3,False,
moonshotai/kimi-k3,T,50,0.6954308413670434,0.6497791111111111,0.832922005235147,0.96,0.0,456934,0.053041080000000004,0.01649287313432836,openrouter_kimi-k3_2026-07-26,"ORIG,T",4,False,
google/gemini-3.6-flash,T,50,0.6809701479030159,0.816644,1.059275221649218,0.98,0.0,781311,0.07494849,0.023304878731343286,openrouter_gemini-3.6-flash_2026-07-26,T,5,False,
z-ai/glm-5.2,T,50,0.6677649295195878,0.9250589010989012,1.1779581757152484,0.86,0.030666666666666665,1385865,0.04375039356,0.013603978097014925,openrouter_glm-5.2_2026-07-26,"ORIG,T",6,False,
google/gemma-4-31b-it,T,50,0.6421068219555699,0.8146439999999999,1.0717616317073495,0.96,0.001,1593779,0.00896393,0.0027872916666666667,openrouter_gemma-4-31b-it_2026-07-26,"ORIG,S,ST,T",7,False,
deepseek/deepseek-v4-flash,T,50,0.5943783794234444,0.7694840000000001,1.045238391564336,0.96,0.0,2369004,0.0095023264,0.0029547034825870644,openrouter_deepseek-v4-flash_2026-07-26,"ORIG,S,ST,T",8,False,
