condition,gloss,n_runs,mean_pearson_r,mean_mae,paper_pearson_r,paper_mae,rank_by_mean_r
all,object khớp kỳ vọng (baseline),15,0.6423862747140865,0.8033532275132275,0.7512522883491137,0.5401800000000001,4
global,object liên quan nhưng kém khớp ngữ cảnh,15,0.4915291596676679,0.8399037777777778,0.621657131477521,0.7058500000000001,5
animate,đổi animate/inanimate của object,15,0.8062896510485943,0.7828429426129425,0.8453516651521511,0.43194999999999995,1
plural,object số nhiều,15,0.6514738364280781,0.7350436402116401,0.7310606981686791,0.6556200000000001,3
name,object là tên riêng,15,0.6972031616936909,0.7407717492877492,0.8527109186754696,0.57756,2
