model_id,mode,n,pearson_r,mae,rmse,coarse_acc,parse_fail_rate,total_tokens,mean_cost_per_sentence_usd,cost_ratio_vs_human,pricing_source,modes_available,rank
gpt-5.6-luna,ORIG,50,0.7776668912632118,0.6199119999999999,0.7856968850644629,0.98,0.0,697160,0.0159432,0.004957462686567164,openrouter_openai_gpt-5.6-luna_2026-07-26,"ORIG,T",1
gpt-5.6-sol,ORIG,50,0.7331366186783372,0.637764,0.854941398693501,0.98,0.0,348578,0.0398568,0.012393283582089552,openrouter_openai_gpt-5.6-sol_2026-07-26,"ORIG,T",2
moonshotai/kimi-k3,ORIG,50,0.6918198235713622,0.6679600000000001,0.9270080879906065,0.94,0.0,182535,0.012152099999999999,0.003778638059701492,openrouter_kimi-k3_2026-07-26,"ORIG,T",3
google/gemma-3-12b-it,ORIG,50,0.6402469432971583,1.186496,1.4563204301251838,0.88,0.0,732140,0.00077214,0.00024009328358208954,openrouter_gemma-3-12b-it_2026-07-26,"ORIG,S",4
z-ai/glm-5.2,ORIG,50,0.6281695742666508,0.865644,1.0943187813429869,0.96,0.0,172545,0.00245274228,0.000762668619402985,openrouter_glm-5.2_2026-07-26,"ORIG,T",5
deepseek/deepseek-v4-flash,ORIG,50,0.5488178211758419,0.6999360000000001,0.9543987611056504,1.0,0.0,692160,0.001994048,0.0006200398009950248,openrouter_deepseek-v4-flash_2026-07-26,"ORIG,S,ST,T",6
openai/gpt-4.1-mini,ORIG,50,0.5251472150749914,0.871692,1.1518554575987388,0.92,0.0,719139,0.006736608000000001,0.002094716417910448,openrouter_openai_gpt-4.1-mini_2026-07-26,ORIG,7
google/gemma-4-31b-it,ORIG,50,0.4880091640967146,0.930984,1.2161735053848197,0.98,0.0,741140,0.0021791920000000004,0.0006776094527363185,openrouter_gemma-4-31b-it_2026-07-26,"ORIG,S,ST,T",8
