model_id,orig_pearson_r,t_pearson_r,delta_r,orig_mae,t_mae,delta_mae
google/gemma-4-31b-it,0.4880091640967146,0.6421068219555699,0.15409765785885532,0.930984,0.8146439999999999,-0.11634000000000011
deepseek/deepseek-v4-flash,0.5488178211758419,0.5943783794234444,0.04556055824760252,0.6999360000000001,0.7694840000000001,0.06954799999999994
z-ai/glm-5.2,0.6281695742666508,0.6677649295195878,0.039595355252937,0.865644,0.9250589010989012,0.05941490109890124
gpt-5.6-luna,0.7776668912632118,0.7850968602212802,0.007429968958068467,0.6199119999999999,0.5739839999999999,-0.04592799999999997
moonshotai/kimi-k3,0.6918198235713622,0.6954308413670434,0.0036110177956811818,0.6679600000000001,0.6497791111111111,-0.018180888888889024
gpt-5.6-sol,0.7331366186783372,0.7061714127966138,-0.026965205881723464,0.637764,0.6757639999999999,0.03799999999999992
